split	genre	dataset	year	sid	score	sentence1	sentence2
train	main-captions	MSRvid	2012test	0004	3.800	Seorang pria sedang memainkan seruling besar.	Seorang pria sedang memainkan seruling.
train	main-captions	MSRvid	2012test	0005	3.800	Seorang pria sedang mengoleskan keju parut di atas pizza.	Seorang pria sedang mengoleskan keju parut di atas pizza yang belum dimasak.
train	main-captions	MSRvid	2012test	0006	2.600	Tiga pria sedang bermain catur.	Dua pria sedang bermain catur.
train	main-captions	MSRvid	2012test	0009	4.250	Seorang pria sedang memainkan cello.	Seorang pria yang duduk sedang memainkan cello.
train	main-captions	MSRvid	2012test	0011	4.250	Beberapa pria sedang berkelahi.	Dua pria sedang berkelahi.
train	main-captions	MSRvid	2012test	0012	0.500	Seorang pria sedang merokok.	Seorang pria sedang berseluncur.
train	main-captions	MSRvid	2012test	0013	1.600	Pria itu sedang bermain piano.	Pria itu sedang bermain gitar.
train	main-captions	MSRvid	2012test	0014	2.200	Seorang pria sedang bermain gitar dan bernyanyi.	Seorang wanita sedang memainkan gitar akustik dan bernyanyi.
train	main-captions	MSRvid	2012test	0016	5.000	Seseorang sedang melemparkan seekor kucing ke langit-langit.	Seseorang melempar kucing ke langit-langit.
train	main-captions	MSRvid	2012test	0017	4.200	Pria itu memukul pria lainnya dengan tongkat.	Pria itu memukul pria lainnya dengan tongkat.
train	main-captions	MSRvid	2012test	0018	4.600	Seorang wanita mengambil dan menggendong bayi kanguru.	Seorang wanita mengambil dan menggendong bayi kanguru dalam pelukannya.
train	main-captions	MSRvid	2012test	0019	3.867	Seorang pria sedang memainkan seruling.	Seorang pria sedang memainkan seruling bambu.
train	main-captions	MSRvid	2012test	0020	4.667	Seseorang sedang melipat selembar kertas.	Seseorang sedang melipat selembar kertas.
train	main-captions	MSRvid	2012test	0021	1.667	Seorang pria sedang berlari di jalan.	Seekor anjing panda sedang berlari di jalan.
train	main-captions	MSRvid	2012test	0022	3.750	Seekor anjing sedang mencoba melepaskan daging dari punggungnya.	Seekor anjing sedang mencoba memakan daging di punggungnya.
train	main-captions	MSRvid	2012test	0025	5.000	Beruang kutub sedang meluncur di atas salju.	Seekor beruang kutub meluncur melintasi salju.
train	main-captions	MSRvid	2012test	0026	0.500	Seorang wanita sedang menulis.	Seorang wanita sedang berenang.
train	main-captions	MSRvid	2012test	0028	3.800	Seekor kucing sedang bergesekan dengan wajah bayi.	Seekor kucing sedang bergesekan dengan bayi.
train	main-captions	MSRvid	2012test	0029	5.000	Pria itu sedang menunggang kuda.	Seorang pria sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0030	3.200	Seorang pria menuangkan minyak ke dalam panci.	Seorang pria menuangkan anggur ke dalam panci.
train	main-captions	MSRvid	2012test	0031	2.800	Seorang pria sedang bermain gitar.	Seorang gadis sedang bermain gitar.
train	main-captions	MSRvid	2012test	0032	4.600	Seekor panda sedang meluncur ke bawah perosotan.	Seekor panda meluncur ke bawah perosotan.
train	main-captions	MSRvid	2012test	0034	3.000	Seorang wanita sedang makan sesuatu.	Seorang wanita sedang makan daging.
train	main-captions	MSRvid	2012test	0035	5.000	Seorang wanita mengupas kentang.	Seorang wanita sedang mengupas kentang.
train	main-captions	MSRvid	2012test	0038	4.800	Bocah itu terjatuh dari sepedanya.	Seorang anak laki-laki jatuh dari sepedanya.
train	main-captions	MSRvid	2012test	0040	5.000	Wanita itu sedang memainkan seruling.	Seorang wanita sedang memainkan seruling.
train	main-captions	MSRvid	2012test	0042	4.200	Seekor kelinci lari dari elang.	Seekor kelinci lari dari seekor elang.
train	main-captions	MSRvid	2012test	0044	4.200	Wanita itu sedang menggoreng potongan daging babi yang dilapisi tepung roti.	Seorang wanita sedang memasak potongan daging babi yang dilapisi tepung roti.
train	main-captions	MSRvid	2012test	0046	4.000	Seorang gadis sedang menerbangkan layang-layang.	Seorang gadis berlari sedang menerbangkan layang-layang.
train	main-captions	MSRvid	2012test	0047	4.000	Seorang pria sedang menunggangi banteng mekanik.	Seorang pria menunggangi banteng mekanik.
train	main-captions	MSRvid	2012test	0048	4.909	Pria itu sedang bermain gitar.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0050	3.000	Seorang wanita sedang menari dan bernyanyi bersama wanita lain.	Seorang wanita menari dan bernyanyi di tengah hujan.
train	main-captions	MSRvid	2012test	0052	2.400	Seorang pria sedang mengiris roti.	Seorang pria sedang mengiris bawang.
train	main-captions	MSRvid	2012test	0053	4.200	Seorang pria sedang menuangkan minyak ke dalam wajan.	Seorang pria sedang menuangkan minyak ke dalam wajan.
train	main-captions	MSRvid	2012test	0054	3.400	Seekor singa sedang bermain dengan manusia.	Seekor singa sedang bermain dengan dua pria.
train	main-captions	MSRvid	2012test	0055	5.000	Seekor anjing mengendarai skateboard.	Seekor anjing sedang mengendarai skateboard.
train	main-captions	MSRvid	2012test	0056	3.750	Seseorang sedang mengukir patung.	Seorang pria sedang mengukir patung.
train	main-captions	MSRvid	2012test	0057	2.750	Seorang wanita sedang mengiris bawang.	Seorang pria sedang memotong bawang.
train	main-captions	MSRvid	2012test	0058	5.000	Seorang wanita mengupas udang.	Seorang wanita sedang mengupas udang.
train	main-captions	MSRvid	2012test	0059	4.000	Seorang wanita sedang menggoreng ikan.	Seorang wanita sedang memasak ikan.
train	main-captions	MSRvid	2012test	0061	3.600	Seorang wanita sedang memainkan gitar listrik.	Seorang wanita sedang bermain gitar.
train	main-captions	MSRvid	2012test	0062	1.600	Seekor bayi harimau sedang bermain bola.	Seorang bayi sedang bermain dengan boneka.
train	main-captions	MSRvid	2012test	0064	1.750	Seseorang sedang mengiris tomat.	Seseorang sedang mengiris daging.
train	main-captions	MSRvid	2012test	0065	5.000	Seseorang memotong bawang.	Seseorang sedang memotong bawang.
train	main-captions	MSRvid	2012test	0068	1.000	Seorang pria sedang bermain piano.	Seorang wanita sedang bermain biola.
train	main-captions	MSRvid	2012test	0069	1.000	Seorang wanita sedang memainkan seruling.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0070	2.375	Seorang pria sedang memotong kentang.	Seorang pria sedang memotong wortel.
train	main-captions	MSRvid	2012test	0071	3.800	Seorang anak sedang bermain gitar.	Seorang anak laki-laki sedang bermain gitar.
train	main-captions	MSRvid	2012test	0072	3.200	Seorang anak laki-laki sedang bermain gitar.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0073	3.200	Seorang pria sedang bermain gitar.	Seorang anak laki-laki sedang memainkan gitar.
train	main-captions	MSRvid	2012test	0075	4.400	Seorang anak kecil sedang memainkan keyboard.	Seorang anak laki-laki sedang bermain papan kunci.
train	main-captions	MSRvid	2012test	0077	3.750	Seorang pria sedang bermain gitar.	Seorang pria sedang memainkan gitar listrik.
train	main-captions	MSRvid	2012test	0078	4.750	Seekor anjing menjilati bayi.	Seekor anjing menjilati bayi.
train	main-captions	MSRvid	2012test	0080	3.200	Seorang wanita sedang mengiris bawang.	Seorang pria sedang memotong dan bawang.
train	main-captions	MSRvid	2012test	0081	1.556	Seorang pria sedang bermain gitar.	Seorang pria sedang bermain drum.
train	main-captions	MSRvid	2012test	0083	3.938	Seorang wanita sedang mengiris lada.	Seorang wanita sedang memotong cabai merah.
train	main-captions	MSRvid	2012test	0084	5.000	Seorang pria sedang bermain drum.	Seorang pria memainkan drum.
train	main-captions	MSRvid	2012test	0085	5.000	Seorang wanita mengendarai kuda.	Seorang wanita sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0086	4.000	Seorang pria sedang makan pisang di dekat pohon.	Seorang pria sedang makan pisang.
train	main-captions	MSRvid	2012test	0087	1.600	Seekor kucing sedang memainkan papan kunci.	Seorang pria sedang memainkan dua keyboard.
train	main-captions	MSRvid	2012test	0089	4.750	Seorang pria menebang pohon dengan kapak.	Seorang pria menebang pohon dengan kapak.
train	main-captions	MSRvid	2012test	0090	3.500	Seorang anak bermain dengan telepon mainan.	Seorang anak kecil bermain dengan telepon mainan.
train	main-captions	MSRvid	2012test	0093	1.400	Seorang pria sedang mengendarai sepeda motor.	Seorang pria sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0094	1.400	Seorang pria sedang mengendarai sepeda motor.	Seorang pria sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0099	4.000	Seekor tupai berputar-putar.	Seekor tupai berlari berputar-putar.
train	main-captions	MSRvid	2012test	0101	5.000	Seorang pria dan seorang wanita sedang berciuman.	Ciuman pria dan wanita.
train	main-captions	MSRvid	2012test	0102	3.833	Seorang pria masuk ke dalam mobil.	Seorang pria masuk ke dalam mobil di garasi.
train	main-captions	MSRvid	2012test	0104	0.600	Seorang pria sedang menari.	Seorang pria sedang berbicara.
train	main-captions	MSRvid	2012test	0105	2.917	Seorang pria sedang bermain gitar dan bernyanyi.	Seorang pria sedang bermain gitar.
train	main-captions	MSRvid	2012test	0106	4.200	Seseorang sedang memotong jamur.	Seseorang sedang memotong jamur dengan pisau.
train	main-captions	MSRvid	2012test	0108	2.000	Seekor anak harimau mengeluarkan suara.	Seekor harimau sedang berjalan-jalan.
train	main-captions	MSRvid	2012test	0109	2.600	Seseorang sedang mengiris bawang.	Seseorang sedang mengupas bawang.
train	main-captions	MSRvid	2012test	0110	1.600	Seorang pria sedang bermain piano.	Seorang pria sedang memainkan terompet.
train	main-captions	MSRvid	2012test	0111	2.000	Seorang wanita sedang mengupas kentang.	Seorang wanita sedang mengupas apel.
train	main-captions	MSRvid	2012test	0112	4.200	Seorang pankda sedang memakan bambu.	Seekor beruang panda sedang memakan bambu.
train	main-captions	MSRvid	2012test	0113	2.000	Seseorang sedang mengupas bawang.	Seseorang sedang mengupas terong.
train	main-captions	MSRvid	2012test	0114	4.800	Seekor monyet mendorong monyet lain.	Monyet itu mendorong monyet yang lain.
train	main-captions	MSRvid	2012test	0115	4.400	Seekor tupai berlari berputar-putar.	Seekor tupai sedang bergerak berputar-putar.
train	main-captions	MSRvid	2012test	0116	5.000	Seorang pria sedang mengikat sepatunya.	Seorang pria mengikat sepatunya.
train	main-captions	MSRvid	2012test	0117	3.000	Seorang anak laki-laki sedang bernyanyi dan memainkan piano.	Seorang anak laki-laki sedang bermain piano.
train	main-captions	MSRvid	2012test	0118	4.250	Seekor anjing sedang makan melon air.	Seekor anjing sedang memakan sepotong semangka.
train	main-captions	MSRvid	2012test	0119	4.250	Seorang wanita sedang memotong brokoli.	Seorang wanita sedang memotong brokoli dengan pisau.
train	main-captions	MSRvid	2012test	0120	3.800	Seorang pria sedang mengupas kentang.	Seorang pria mengupas kentang.
train	main-captions	MSRvid	2012test	0121	2.400	Seorang wanita sedang bermain gitar.	Seorang pria memainkan gitar.
train	main-captions	MSRvid	2012test	0123	1.600	Seorang wanita sedang mengiris tomat.	Seorang pria sedang mengiris bawang.
train	main-captions	MSRvid	2012test	0125	2.000	Seorang pria berenang di bawah air.	Seorang wanita sedang berenang di bawah air.
train	main-captions	MSRvid	2012test	0126	1.600	Seorang pria dan wanita sedang berbicara.	Seorang pria dan wanita sedang makan.
train	main-captions	MSRvid	2012test	0129	4.000	Seekor anjing kecil sedang mengejar bola yoga.	Seekor anjing sedang mengejar bola.
train	main-captions	MSRvid	2012test	0130	2.200	Para pria sedang bermain kriket.	Para pria sedang bermain basket.
train	main-captions	MSRvid	2012test	0131	4.400	Seorang pria berangkat dengan sepeda motor.	Seorang pria sedang mengendarai sepeda motor.
train	main-captions	MSRvid	2012test	0132	3.600	Seorang pria sedang bermain gitar.	Seorang pria sedang bernyanyi dan bermain gitar.
train	main-captions	MSRvid	2012test	0133	3.600	Pria itu berbicara di telepon.	Pria itu sedang berbicara di telepon.
train	main-captions	MSRvid	2012test	0135	0.500	Seorang pria sedang memancing.	Seorang pria sedang berolahraga.
train	main-captions	MSRvid	2012test	0136	0.800	Seorang pria sedang melayang.	Seorang pria sedang berbicara.
train	main-captions	MSRvid	2012test	0138	0.600	Dua anak laki-laki sedang mengemudi.	Dua teluk sedang menari.
train	main-captions	MSRvid	2012test	0141	2.600	Seorang pria sedang menunggang kuda.	Seorang gadis sedang menunggang kuda.
train	main-captions	MSRvid	2012test	0142	2.000	Seorang pria sedang mengendarai sepeda.	Seekor monyet sedang mengendarai sepeda.
train	main-captions	MSRvid	2012test	0143	2.200	Seorang pria sedang mengiris kentang.	Seorang wanita sedang mengupas kentang.
train	main-captions	MSRvid	2012test	0144	2.400	Seorang wanita sedang mengupas kentang.	Seorang pria sedang mengiris kentang.
train	main-captions	MSRvid	2012test	0145	3.600	Seorang pria sedang bermain gitar.	Seseorang sedang bermain gitar.
train	main-captions	MSRvid	2012test	0148	2.200	Seorang wanita sedang mengiris daun bawang.	Seorang wanita sedang mengiris jahe.
train	main-captions	MSRvid	2012test	0149	4.800	Pria itu memotong piring kertas.	Seorang pria sedang memotong piring kertas.
train	main-captions	MSRvid	2012test	0151	1.643	Pria itu sedang bermain gitar.	Seorang pria sedang memainkan seruling.
train	main-captions	MSRvid	2012test	0152	1.750	Seorang pria sedang bermain piano.	Pria itu sedang bermain biola.
train	main-captions	MSRvid	2012test	0154	2.250	Seorang wanita sedang mengiris daging.	Seorang wanita sedang membuat daging.
train	main-captions	MSRvid	2012test	0155	4.000	Seorang pria sedang bermain keyboardnya.	Seorang pria sedang memainkan piano keyboard.
train	main-captions	MSRvid	2012test	0157	4.800	Wanita itu memotong daun bawang.	Wanita itu memotong daun bawang.
train	main-captions	MSRvid	2012test	0158	3.200	Seseorang sedang duduk mie di dalam air.	Seorang wanita sedang merebus mie dalam air.
train	main-captions	MSRvid	2012test	0160	4.000	Lionel Richie menari di langit-langit.	Lionel Ritchie menari sambil berdiri di langit-langit.
